Date,Time,Vendor,Employee,Amount,Location,Card Type,Transaction Type
1/21/24,4:38:08,Acevedo-Marks,Carly Russell,436.58,"Port Jordan, Oklahoma, United States Minor Outlying Islands",AmEx,Purchase
12/9/23,5:51:30,Acosta-Lee,Tiffany Barrera,444.34,"New Alexandrachester, Minnesota, South Africa",Visa,Purchase
6/3/23,16:41:38,Adams Group,Patricia Herrera,151.29,"West Christopherview, Georgia, Saint Pierre and Miquelon",MasterCard,Purchase
9/1/23,17:47:10,"Adams, Joseph and Anthony",Jennifer Gray,258.55,"West Jacqueline, Michigan, Congo",Visa,Purchase
5/21/23,21:14:49,Adkins Inc,John Barton,46.99,"Nicolemouth, California, Libyan Arab Jamahiriya",AmEx,Purchase
12/29/23,15:00:28,"Aguirre, Morris and Moore",Ana Gates,230.68,"North Natalie, Tennessee, Norfolk Island",AmEx,Purchase
4/7/23,17:56:43,Alexander-Johnson,Rebecca Fisher,112.58,"Danielside, Virginia, Burkina Faso",AmEx,Purchase
12/11/23,17:10:20,"Alexander, Smith and Adams",Brian Davies,327.79,"East Melanie, South Carolina, Kuwait",AmEx,Purchase
4/11/23,16:04:13,Allen Inc,John Wallace,453.01,"Port Cynthiamouth, Nevada, Holy See (Vatican City State)",AmEx,Purchase
8/19/23,1:52:45,Allen Inc,William Jackson,317.04,"East Jamiefort, Maine, Russian Federation",MasterCard,Purchase
4/11/23,7:16:50,"Allen, Vincent and Allen",Jennifer Gray,57.34,"South Matthew, Missouri, Bosnia and Herzegovina",AmEx,Purchase
11/30/23,9:00:44,Alvarez LLC,Rodney Williams Jr.,188.14,"Port Jenna, Hawaii, Gambia",Visa,Purchase
4/22/23,0:55:34,Alvarez-Herman,Ana Gates,459.38,"Lake Michellebury, Maryland, Senegal",MasterCard,Purchase
3/23/23,11:42:23,"Alvarez, Brown and Cruz",Cheyenne Jones,164.64,"West Greg, Tennessee, Denmark",Visa,Purchase
11/6/23,2:12:40,"Alvarez, Mccarty and Oliver",Brian Davies,295.49,"Velezside, Utah, Croatia",MasterCard,Purchase
6/26/23,1:13:00,"Alvarez, Mccormick and Ross",Rebecca Fisher,189.39,"South Jeremiah, Colorado, Northern Mariana Islands",Visa,Purchase
12/25/23,2:53:59,Andersen-Flores,Veronica Rivers,22.47,"Port Phillipfort, Idaho, Malaysia",AmEx,Purchase
9/3/23,11:56:12,"Andersen, Doyle and Hartman",Brian Davies,23.41,"West Marcberg, South Dakota, Liberia",Visa,Purchase
6/8/23,12:46:51,Anderson PLC,Rebecca Fisher,285.26,"West Danielmouth, South Dakota, Palau",AmEx,Purchase
8/2/23,8:08:51,"Anderson, Adams and Ho",Lauren Romero,470.65,"Brownborough, Minnesota, Russian Federation",MasterCard,Purchase
11/24/23,13:18:15,"Anderson, Mahoney and Bell",Veronica Rivers,368.13,"Lisaport, Oklahoma, Spain",MasterCard,Purchase
9/14/23,16:33:36,Andrade Inc,Julie Chandler,273.12,"New Melissaport, Montana, Equatorial Guinea",AmEx,Purchase
11/4/23,23:35:58,"Andrade, Anderson and Gomez",Craig Roman,440.64,"Lake Ariel, North Dakota, Central African Republic",Visa,Purchase
6/28/23,23:03:50,Andrews LLC,Rodney Williams Jr.,131.25,"West Angela, Washington, Cameroon",Visa,Purchase
6/3/23,18:12:48,Armstrong Group,Veronica Rivers,39.8,"Floresport, Kansas, Benin",AmEx,Purchase
12/12/23,12:27:06,Armstrong-Phillips,Alyssa Ruiz,341.23,"Kellyhaven, Texas, Netherlands",AmEx,Purchase
4/19/23,18:48:59,Ashley LLC,Cheyenne Jones,35.27,"Brycebury, South Dakota, Burkina Faso",Visa,Purchase
3/15/23,18:16:19,Atkins Group,Christopher Hicks,34.17,"Padillaport, Alabama, Andorra",MasterCard,Purchase
9/9/23,3:22:27,Avila Group,Colleen Butler,29.06,"Bakerstad, Vermont, Finland",Visa,Purchase
11/9/23,15:56:11,Baker Group,Jennifer Gray,136.27,"Port Xavier, Florida, Mongolia",MasterCard,Purchase
4/14/23,22:36:36,Baker Ltd,Wanda Sullivan,481.22,"Jenniferland, Montana, Cook Islands",MasterCard,Purchase
1/27/24,18:23:29,Baker-Hanna,Jennifer Gray,364.14,"West Jeffrey, Alabama, Tanzania",Visa,Purchase
3/14/23,11:54:22,Baldwin-Lewis,Mackenzie Graham,353.41,"Villafort, Ohio, Eritrea",AmEx,Purchase
5/3/23,16:32:54,Ball Inc,Barbara Miller,282.7,"New Elizabeth, New Hampshire, Saint Martin",MasterCard,Purchase
8/16/23,5:56:01,Banks Inc,Dr. April Adams DDS,252.17,"Jamesberg, Minnesota, Saint Helena",AmEx,Purchase
11/19/23,12:57:07,"Banks, Riley and Gallagher",Amanda Roberts,67.69,"Lake Lindashire, Utah, Suriname",Visa,Purchase
5/20/23,0:19:57,Barrett-Harris,Elizabeth Adams,155.27,"South Jefferyton, Washington, Cape Verde",AmEx,Purchase
